frequency=10000
wave0	Time
1.436064	0.148848
1.431040	0.148851
1.436064	0.148855
1.436064	0.148858
1.436064	0.148861
1.436064	0.148865
1.431040	0.148868
1.436064	0.148872
1.436064	0.148875
1.426016	0.148879
1.431040	0.148882
1.436064	0.148886
1.431040	0.148889
1.436064	0.148893
1.431040	0.148896
1.426016	0.148899
1.431040	0.148903
1.426016	0.148907
1.431040	0.148910
1.436064	0.148913
1.431040	0.148917
1.436064	0.148920
1.431040	0.148924
1.431040	0.148928
1.431040	0.148931
1.431040	0.148947
1.436064	0.148952
1.436064	0.148955
1.431040	0.148959
1.441088	0.148963
1.436064	0.148966
1.436064	0.148970
1.436064	0.148973
1.431040	0.148977
1.431040	0.148980
1.436064	0.148984
1.436064	0.148987
1.436064	0.148991
1.426016	0.148994
1.431040	0.148998
1.431040	0.149001
1.436064	0.149005
1.436064	0.149008
1.431040	0.149011
1.436064	0.149015
1.431040	0.149019
1.436064	0.149022
1.431040	0.149025
1.436064	0.149029
1.436064	0.149033
1.436064	0.149036
1.436064	0.149039
1.436064	0.149043
1.436064	0.149046
1.436064	0.149050
1.436064	0.149053
1.436064	0.149057
1.436064	0.149060
1.431040	0.149063
1.436064	0.149067
1.426016	0.149070
1.426016	0.149074
1.431040	0.149077
1.426016	0.149081
1.431040	0.149084
1.426016	0.149088
1.431040	0.149091
1.436064	0.149094
1.431040	0.149098
1.431040	0.149101
1.431040	0.149105
1.431040	0.149108
1.426016	0.149112
1.426016	0.149115
1.431040	0.149118
1.436064	0.149122
1.431040	0.149125
1.436064	0.149129
1.431040	0.149132
1.431040	0.149136
1.431040	0.149139
1.431040	0.149143
1.431040	0.149146
1.426016	0.149150
1.431040	0.149153
1.431040	0.149157
1.431040	0.149160
1.436064	0.265194
1.431040	0.265209
1.431040	0.265213
1.426016	0.265216
1.431040	0.265218
1.431040	0.265221
1.436064	0.265224
1.431040	0.265227
1.431040	0.265229
1.431040	0.265232
1.436064	0.265234
1.436064	0.265237
1.436064	0.265240
1.431040	0.265242
1.436064	0.265245
1.431040	0.265248
1.436064	0.265250
1.431040	0.265253
1.431040	0.265256
1.436064	0.265258
1.431040	0.265261
1.431040	0.265264
1.436064	0.265266
1.436064	0.265269
1.431040	0.265271
1.431040	0.265274
1.436064	0.265277
1.436064	0.265279
1.431040	0.265282
1.436064	0.265284
1.431040	0.265287
1.436064	0.265289
1.431040	0.265292
1.431040	0.265295
1.431040	0.265297
1.436064	0.265300
1.431040	0.265302
1.431040	0.265305
1.431040	0.265308
1.431040	0.265310
1.436064	0.265313
1.436064	0.265315
1.436064	0.265318
1.436064	0.265321
1.436064	0.265323
1.431040	0.265326
1.436064	0.265328
1.431040	0.265331
1.436064	0.265334
1.431040	0.265336
1.436064	0.265339
1.436064	0.265341
1.431040	0.265344
1.431040	0.265346
1.431040	0.265349
1.431040	0.265352
1.436064	0.265354
1.436064	0.265357
1.436064	0.265359
1.436064	0.265362
1.431040	0.265365
1.436064	0.265367
1.436064	0.265370
1.436064	0.265372
1.431040	0.265375
1.436064	0.265377
1.431040	0.265380
1.431040	0.265383
1.436064	0.265385
1.436064	0.265388
1.436064	0.265391
1.426016	0.265393
1.436064	0.265396
1.436064	0.265398
1.431040	0.265401
1.431040	0.265403
1.431040	0.265406
1.436064	0.265408
1.436064	0.265411
1.436064	0.265414
